Date,Open,High,Low,Close,Volume
2024-09-06,108.04000091552734,108.1500015258789,100.9499969482422,102.83000183105467,413638100.0
2024-09-09,104.87999725341795,106.5500030517578,103.69000244140624,106.47000122070312,273912000.0
2024-09-10,107.80999755859376,109.4000015258789,104.9499969482422,108.0999984741211,268283700.0
2024-09-11,109.38999938964844,117.19000244140624,107.41999816894533,116.91000366210938,441422400.0
2024-09-12,116.83999633789062,120.79000091552734,115.37999725341795,119.13999938964844,367100500.0
2024-09-13,119.08000183105467,119.95999908447266,117.5999984741211,119.0999984741211,238358300.0
2024-09-16,116.79000091552734,118.18000030517578,114.36000061035156,116.77999877929688,248772300.0
2024-09-17,118.16999816894533,118.8000030517578,114.83000183105467,115.58999633789062,231925900.0
2024-09-18,115.88999938964844,117.6999969482422,113.22000122070312,113.37000274658205,310318900.0
2024-09-19,117.3499984741211,119.66000366210938,117.25,117.87000274658205,293506400.0
2024-09-20,117.05999755859376,118.62000274658205,115.38999938964844,116.0,382462400.0
2024-09-23,116.5500030517578,116.98999786376952,114.86000061035156,116.26000213623048,206228500.0
2024-09-24,116.5199966430664,121.8000030517578,115.37999725341795,120.87000274658205,354966800.0
2024-09-25,122.0199966430664,124.94000244140624,121.61000061035156,123.51000213623048,284692900.0
2024-09-26,126.8000030517578,127.66999816894533,121.8000030517578,124.04000091552734,302582900.0
2024-09-27,123.97000122070312,124.02999877929688,119.26000213623048,121.4000015258789,271009200.0
2024-09-30,118.30999755859376,121.5,118.1500015258789,121.44000244140624,226553700.0
2024-10-01,121.7699966430664,122.44000244140624,115.79000091552734,117.0,302094500.0
2024-10-02,116.44000244140624,119.37999725341795,115.13999938964844,118.8499984741211,221845900.0
2024-10-03,120.91999816894533,124.36000061035156,120.33999633789062,122.8499984741211,277118000.0
2024-10-04,124.94000244140624,125.04000091552734,121.83000183105467,124.91999816894533,243678100.0
2024-10-07,124.98999786376952,130.63999938964844,124.9499969482422,127.72000122070312,346250200.0
2024-10-08,130.25999450683594,133.47999572753906,129.4199981689453,132.88999938964844,285722500.0
2024-10-09,134.11000061035156,134.52000427246094,131.3800048828125,132.64999389648438,246191600.0
2024-10-10,131.91000366210938,135.0,131.0,134.80999755859375,242311300.0
2024-10-11,134.00999450683594,135.77999877929688,133.66000366210938,134.8000030517578,170209500.0
2024-10-14,136.47000122070312,139.60000610351562,136.3000030517578,138.07000732421875,232347700.0
2024-10-15,137.8699951171875,138.57000732421875,128.74000549316406,131.60000610351562,377831000.0
2024-10-16,133.97999572753906,136.6199951171875,131.5800018310547,135.72000122070312,264879700.0
2024-10-17,139.33999633789062,140.88999938964844,136.8699951171875,136.92999267578125,306435900.0
2024-10-18,138.6699981689453,138.89999389648438,137.27999877929688,138.0,176090200.0
2024-10-21,138.1300048828125,143.7100067138672,138.0,143.7100067138672,264554500.0
2024-10-22,142.91000366210938,144.4199981689453,141.77999877929688,143.58999633789062,226311600.0
2024-10-23,142.02999877929688,142.42999267578125,137.4600067138672,139.55999755859375,285930000.0
2024-10-24,140.82000732421875,141.35000610351562,138.4600067138672,140.41000366210938,172354900.0
2024-10-25,140.92999267578125,144.1300048828125,140.8000030517578,141.5399932861328,205122100.0
2024-10-28,143.0,143.13999938964844,140.0500030517578,140.52000427246094,173586700.0
2024-10-29,140.2899932861328,142.25999450683594,138.89999389648438,141.25,157593600.0
2024-10-30,139.5399932861328,140.3300018310547,136.80999755859375,139.33999633789062,179418100.0
2024-10-31,137.60000610351562,137.61000061035156,132.11000061035156,132.75999450683594,270039600.0
2024-11-01,134.6999969482422,137.30999755859375,134.57000732421875,135.39999389648438,207127800.0
2024-11-04,137.2100067138672,138.9600067138672,135.57000732421875,136.0500030517578,187528200.0
2024-11-05,137.4499969482422,140.3699951171875,137.3300018310547,139.91000366210938,160537400.0
2024-11-06,142.9600067138672,146.49000549316406,141.9600067138672,145.61000061035156,242043900.0
2024-11-07,146.38999938964844,148.92999267578125,146.1699981689453,148.8800048828125,207323300.0
2024-11-08,148.77000427246094,149.77000427246094,146.25999450683594,147.6300048828125,175665800.0
2024-11-11,148.67999267578125,148.85000610351562,143.57000732421875,145.25999450683594,182325600.0
2024-11-12,146.77999877929688,149.64999389648438,146.00999450683594,148.2899932861328,198634700.0
2024-11-13,149.07000732421875,149.3300018310547,145.89999389648438,146.27000427246094,191903300.0
2024-11-14,147.63999938964844,149.0,145.5500030517578,146.75999450683594,194463300.0
2024-11-15,144.8699951171875,145.24000549316406,140.0800018310547,141.97999572753906,250132900.0
2024-11-18,139.5,141.5500030517578,137.14999389648438,140.14999389648438,221866000.0
2024-11-19,141.32000732421875,147.1300048828125,140.99000549316406,147.00999450683594,227834900.0
2024-11-20,147.41000366210938,147.55999755859375,142.72999572753906,145.88999938964844,309871700.0
2024-11-21,149.35000610351562,152.88999938964844,140.6999969482422,146.6699981689453,400946600.0
2024-11-22,145.92999267578125,147.16000366210938,141.10000610351562,141.9499969482422,236406200.0
2024-11-25,141.99000549316406,142.0500030517578,135.82000732421875,136.02000427246094,344941900.0
2024-11-26,137.6999969482422,139.3000030517578,135.6699981689453,136.9199981689453,190287700.0
2024-11-27,135.00999450683594,137.22000122070312,131.8000030517578,135.33999633789062,226370900.0
2024-11-29,136.77999877929688,139.35000610351562,136.0500030517578,138.25,141863200.0
2024-12-02,138.8300018310547,140.4499969482422,137.82000732421875,138.6300048828125,171682800.0
2024-12-03,138.25999450683594,140.5399932861328,137.9499969482422,140.25999450683594,163769200.0
